id,url,header,price,refresh_date,created_timestamp
871100401,https://www.otomoto.pl/osobowe/oferta/ford-focus-1-0-ecoboost-active-1-wlasciciel-navi-xenon-bi-xenon-ID6FW6kb.html,"Ford Focus 1.0 EcoBoost Active , 1. Właściciel, Navi, Xenon, Bi-Xenon,",33 000 złdo negocjacji,"Łódź, Polesie - Dzisiaj o 15:24",2023-11-07 21:13:22
870619921,https://www.otomoto.pl/osobowe/oferta/renault-megane-1-2-tce-benzyna-z-niemiec-stan-bdb-ID6FUDB9.html,Renault Megane 1.2 TCe Benzyna z Niemiec stan BDB,26 900 zł,Ostrów Mazowiecka - Dzisiaj o 15:24,2023-11-07 21:13:22
874029284,https://www.otomoto.pl/osobowe/oferta/skoda-rapid-skoda-rapid-1-0-tsi-ambition-ID6FXcgK.html,Skoda RAPID Skoda Rapid 1.0 TSI Ambition,34 800 zł,Wieliczka - Dzisiaj o 15:17,2023-11-07 21:13:22
870602118,https://www.otomoto.pl/osobowe/oferta/ford-focus-super-stan-grzane-fotele-przednia-szyba-klimatyzacja-ID6FUDxT.html,"Ford Focus Super Stan,Grzane Fotele,Przednia Szyba,Klimatyzacja",27 900 złdo negocjacji,Proszowice - Dzisiaj o 15:16,2023-11-07 21:13:22
865876527,https://www.otomoto.pl/osobowe/oferta/renault-megane-niski-przebieg-ID6FR8dx.html,Renault Megane niski przebieg,32 700 zł,Nidzica - Odświeżono Dzisiaj o 15:14,2023-11-07 21:13:22
865427501,https://www.otomoto.pl/osobowe/oferta/skoda-octavia-octavia-combi-elegance-turbo-benzyna-ID6FOsUD.html,Skoda Octavia Octavia Combi Elegance Turbo Benzyna,31 000 zł,"Wrocław, Stare Miasto - 02 listopada 2023",2023-11-07 21:15:13
857514697,https://www.otomoto.pl/osobowe/oferta/volkswagen-jetta-1-4-tsi-ID6FLHZA.html,Volkswagen Jetta 1.4 TSI,29 000 zł,Cieplewo - 05 listopada 2023,2023-11-07 21:15:13
876126405,https://www.olx.pl/d/oferta/najem-dlugoterminowy-CID5-IDXi8w3.html,Najem Dlugoterminowy,800 złdo negocjacji,"Warszawa, Bemowo - 09 listopada 2023",2023-11-10 14:44:04
869814328,https://www.olx.pl/d/oferta/auto-dziadka-andrzeja-CID5-IDVRErm.html,Auto dziadka Andrzeja,31 000 złdo negocjacji,"Wrocław, Stare Miasto - Odświeżono dnia 08 listopada 2023",2023-11-10 14:44:04
876250953,https://www.otomoto.pl/osobowe/oferta/ford-focus-1-0-benzyna-tytanium-bezwypadkowy-serwis-ID6FYNN5.html,Ford Focus 1.0 benzyna TYTANIUM bezwypadkowy serwis,27 900 zł,Jastrzębie-Zdrój - Dzisiaj o 14:39,2023-11-10 14:44:04
874746590,https://www.otomoto.pl/osobowe/oferta/opel-astra-1-6-benzyna-115-km-niski-przebieg-sports-tourer-ID6FXJUe.html,"Opel Astra 1.6 Benzyna 115 KM, NISKI Przebieg! Sports Tourer",34 900 zł,Łask - Dzisiaj o 14:33,2023-11-10 14:44:04
875282059,https://www.olx.pl/d/oferta/skoda-octavia-iii-1-2-tsi-kombi-2014r-salon-polska-23900-CID5-IDXeAQz.html,"Skoda Octavia III 1,2 TSI KOMBI 2014r Salon Polska 23900!",23 900 złdo negocjacji,"Łódź, Bałuty - Odświeżono Dzisiaj o 14:25",2023-11-10 14:44:04
845769016,https://www.otomoto.pl/osobowe/oferta/peugeot-208-klima-tablet-urban-soul-ID6FDmdd.html,Peugeot 208 klima tablet Urban soul,28 900 złdo negocjacji,Września - Dzisiaj o 14:20,2023-11-10 14:44:04
876244700,https://www.otomoto.pl/osobowe/oferta/citroen-c-elyse-1-6i-115km-salon-polskabezwypadekorg-lakierbogata-opcjaledyfv23-ID6FYNck.html,Citroën C-Elysée 1.6i 115KM Salon Polska*Bezwypadek*Org.Lakier*Bogata Opcja*LEDy*FV23%,32 900 złdo negocjacji,Zgierz - Dzisiaj o 14:15,2023-11-10 14:44:04
871300399,https://www.otomoto.pl/osobowe/oferta/seat-toledo-k-k-auto-mozliwosc-finansowania-ID6FWc0L.html,"Seat Toledo K&K AUTO, Możliwość Finansowania",31 900 złdo negocjacji,Nowa Karczma - Dzisiaj o 14:13,2023-11-10 14:44:04
874930247,https://www.olx.pl/d/oferta/skoda-superb-lifting-CID5-IDXd7kb.html,Skoda superb lifting,27 000 zł,"Warszawa, Praga-Południe - Odświeżono Dzisiaj o 14:00",2023-11-10 14:44:04
871295396,https://www.otomoto.pl/osobowe/oferta/chevrolet-cruze-2szt-w-ofercie-1-4-t-140km-navi-climatronic-bezwypadkowy-serwis-ID6FUH1W.html,"Chevrolet Cruze 2szt w Ofercie 1,4 T 140KM NAVI! Climatronic! Bezwypadkowy! SERWIS!",34 999 złdo negocjacji,"Gliwice, Ligota Zabrska - Dzisiaj o 13:54",2023-11-10 14:44:04
871853280,https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-kombi-przebieg-162200-komplet-opon-zimowych-ID6FWtmJ.html,"Ford Focus Ford Focus kombi, przebieg 162200, komplet opon zimowych",24 000 zł,Białogard - Dzisiaj o 13:52,2023-11-10 14:44:04
876156037,https://www.olx.pl/d/oferta/kia-picanto-1-0-super-stan-CID5-IDXigcZ.html,"Kia Picanto 1,0 Super Stan",18 300 zł,Żarki Letnisko - Dzisiaj o 08:15,2023-11-10 14:44:04
859335495,https://www.otomoto.pl/osobowe/oferta/renault-clio-2018-renault-clio-iv-kombi-90tci-90km-faktura-vat-23-ID6FN1vG.html,"Renault Clio 2018 Renault Clio IV Kombi 90TCi 90KM, Faktura Vat 23%",33 900 zł,Nysa - Dzisiaj o 13:51,2023-11-10 14:44:04
876235745,https://www.otomoto.pl/osobowe/oferta/opel-astra-opel-astra-1-4turbo-bogata-wersja-wyposazenia-ID6FYLyQ.html,"Opel Astra Opel Astra 1,4Turbo bogata wersja wyposażenia",31 900 złdo negocjacji,Radom - Dzisiaj o 13:40,2023-11-10 14:44:04
876104169,https://www.olx.pl/d/oferta/chevrolet-opel-cruze-1-4-pelna-opcja-zarejestrowany-CID5-IDXi2Ip.html,Chevrolet/ Opel Cruze 1.4 pełna opcja zarejestrowany,34 200 złdo negocjacji,Blachownia - Dzisiaj o 13:31,2023-11-10 14:44:04
872867368,https://www.olx.pl/d/oferta/ford-focus-benzynka-eco-boost-moc-125km-CID5-IDX4sFV.html,FORD FOCUS-benzynka Eco Boost-Moc 125KM,26 900 złdo negocjacji,Otmuchów - Dzisiaj o 13:23,2023-11-10 14:44:04
869294612,https://www.olx.pl/d/oferta/na-sprzedaz-fiat-tipo-CID5-IDVPteQ.html,Na sprzedaż Fiat Tipo,29 999 złdo negocjacji,Bydgoszcz - Odświeżono Dzisiaj o 13:22,2023-11-10 14:44:04
876228587,https://www.olx.pl/d/oferta/skoda-rapid-2015r-1-2-lpg-CID5-IDXiz59.html,Skoda Rapid 2015r 1.2 Lpg,27 900 zł,Bydgoszcz - Dzisiaj o 13:14,2023-11-10 14:44:04
